FL_DATE,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE
20060101,0905,5,1229,19,350,2475
20060102,1147,167,1546,216,343,2475
20060103,0853,-7,1208,-2,344,2475
20060104,0855,-5,1157,-13,331,2475
20060105,0857,-3,1153,-17,321,2475
20060106,0856,-4,1138,-32,320,2475
20060108,0857,-3,1208,-2,346,2475
20060109,0903,3,1210,0,334,2475
20060110,0853,-7,1149,-21,334,2475
20060111,0908,8,1200,-10,321,2475
20060112,0855,-5,1143,-27,321,2475
20060113,0853,-7,1204,-6,327,2475
20060115,0947,47,1323,73,333,2475
20060116,0856,-4,1156,-14,329,2475
20060117,0856,-4,1159,-11,337,2475
20060118,0859,-1,1214,4,342,2475
20060119,0858,-2,1212,2,343,2475
20060120,0857,-3,1202,-8,343,2475
20060122,0852,-8,1201,-9,342,2475
20060123,0856,-4,1209,-1,338,2475
20060124,0856,-4,1157,-13,329,2475
20060125,0859,-1,1155,-15,328,2475
20060126,0851,-9,1143,-27,322,2475
20060127,0930,30,1226,16,322,2475
20060129,0914,14,1155,-15,317,2475
20060130,0853,-7,1159,-11,330,2475
20060131,0856,-4,1202,-8,344,2475
20060101,0933,3,1748,3,281,2475
20060102,0949,19,1844,59,280,2475
20060103,0930,0,1746,1,269,2475
20060104,0939,9,1731,-14,272,2475
20060105,0934,4,1820,35,295,2475
20060106,0950,20,1750,5,283,2475
20060107,0929,-1,1725,-20,275,2475
20060108,0931,1,1724,-21,274,2475
20060109,1153,143,1952,127,276,2475
20060110,0923,-7,1724,-21,278,2475
20060111,0932,2,1808,23,303,2475
20060112,0925,-5,1742,-3,292,2475
20060113,1009,39,1842,57,298,2475
20060114,0932,2,1734,-11,283,2475
20060115,0928,-2,1721,-24,270,2475
20060116,0933,3,1718,-27,262,2475
20060117,0928,-2,1728,-17,280,2475
20060118,1039,69,1829,44,270,2475
20060119,1006,36,1815,30,274,2475
20060120,0941,11,1713,-32,255,2475
20060121,0932,2,1725,-20,264,2475
20060122,0928,-2,1727,-18,276,2475
20060123,0927,-3,1728,-17,279,2475
20060124,0927,-3,1745,0,292,2475
20060125,0925,-5,1732,-13,282,2475
20060126,0924,-6,1739,-6,292,2475
20060127,0932,2,1734,-11,279,2475
20060128,0929,-1,1728,-17,282,2475
20060129,1022,52,1843,58,292,2475
20060130,0925,-5,1758,13,306,2475
20060131,0927,-3,1735,-10,283,2475
20060101,1159,-1,1522,19,348,2475
20060102,1202,2,1529,26,348,2475
20060103,1154,-6,1519,16,343,2475
20060104,1157,-3,1452,-11,329,2475
20060105,1157,-3,1440,-23,319,2475
20060106,1155,-5,1502,-1,315,2475
20060107,1152,-8,1459,-4,333,2475
20060108,1158,-2,1503,0,341,2475
20060109,1158,-2,1455,-8,328,2475
20060110,1155,-5,1447,-16,327,2475
20060111,1154,-6,1449,-14,324,2475
20060112,1158,-2,1454,-9,319,2475
20060113,1202,2,1446,-17,317,2475
20060114,1154,-6,1446,-17,332,2475
20060115,1257,57,1644,101,330,2475
20060116,1202,2,1505,2,335,2475
20060117,1155,-5,1452,-11,332,2475
20060118,1159,-1,1501,-2,338,2475
20060119,1158,-2,1500,-3,349,2475
20060120,1153,-7,1507,4,352,2475
20060121,1158,-2,1514,11,344,2475
20060122,1154,-6,1526,23,341,2475
20060123,1153,-7,1456,-7,337,2475
20060124,1159,-1,1503,0,333,2475
20060125,1157,-3,1452,-11,327,2475
20060126,1154,-6,1442,-21,331,2475
20060127,1154,-6,1454,-9,330,2475
20060128,1151,-9,1459,-4,338,2475
20060129,1157,-3,1452,-11,329,2475
20060130,1155,-5,1448,-15,331,2475
20060131,1149,-11,1458,-5,333,2475
20060101,1230,0,2033,-16,279,2475
20060102,1326,56,2131,42,270,2475
20060103,1256,26,2122,33,284,2475
20060104,1226,-4,2038,-11,281,2475
20060105,1230,0,2056,7,292,2475
20060106,1229,-1,2043,-6,288,2475
20060107,1227,-3,2016,-33,269,2475
20060108,1228,-2,2021,-28,268,2475
20060109,1229,-1,2041,-8,279,2475
20060110,1226,-4,2058,9,283,2475
20060111,1231,1,2113,24,301,2475
20060112,1229,-1,2043,-6,286,2475
20060113,1300,30,2159,70,318,2475
20060114,1232,2,2054,5,288,2475
20060115,1415,105,2212,83,267,2475
20060116,1226,-4,2020,-29,271,2475
20060117,1230,0,2039,-10,281,2475
20060118,1230,0,2032,-17,272,2475
20060119,1227,-3,2040,-9,271,2475
20060120,1238,8,2034,-15,271,2475
20060121,1229,-1,2031,-18,270,2475
20060122,1225,-5,2019,-30,270,2475
20060123,1227,-3,2030,-19,272,2475
20060124,1229,-1,2029,-20,274,2475
20060125,1229,-1,2042,-7,288,2475
20060126,1305,35,2112,23,284,2475
20060127,1230,0,2036,-13,284,2475
20060128,1228,-2,2027,-22,274,2475
20060129,1226,-4,2059,10,294,2475
20060130,1221,-9,2044,-5,285,2475
20060131,1230,0,2038,-11,290,2475
20060101,1001,-4,1507,26,516,3784
20060102,1006,1,1506,25,505,3784
20060103,1003,-2,1454,13,503,3784
20060104,1005,0,1502,21,510,3784
20060105,1002,-3,1445,4,498,3784
20060106,1005,0,1431,-10,473,3784
20060107,1003,-2,1428,-13,482,3784
20060108,1003,-2,1414,-27,466,3784
20060109,1005,0,1416,-25,452,3784
20060110,1002,-3,1414,-27,457,3784
20060111,0958,-7,1359,-42,462,3784
20060112,0958,-7,1417,-24,477,3784
20060113,1003,-2,1414,-27,469,3784
20060114,0956,-9,1445,4,501,3784
20060115,1003,-2,1434,-7,489,3784
20060116,0959,-6,1443,2,496,3784
20060117,1001,-4,1433,-8,491,3784
20060118,1004,-1,1432,-9,492,3784
20060119,1003,-2,1449,8,507,3784
20060120,1000,-5,1428,-13,491,3784
20060121,1002,-3,1431,-10,489,3784
20060122,1001,-4,1517,36,501,3784
20060123,1001,-4,1427,-14,482,3784
